Message,Priority,Tags
I was very impress for the first 1o years I could watch Netflix search internet I had 70 mug ? 12-5 freeThe I wanted VOI was talked into the unlimited 60 plan. I was told with this plan after you reach this number the speed would slow down According to the numbers of people accessing the beam in your areaYou won’t even notice it being slow That was a out right lie. At one week it stopped not slowed down dead in the waterCalled service and was told you used up you allowed 60 mgh and nothing you can doThe records showed for two days you system was accessed for 24 hours a day you uses up all of you service in one weekThese was wrong not even home during the day  system will reset on June 12. Several more call with no help from the Teck department Told by teck on Sunday a week ago and he sent the issue to corporate office  no response. More calls told I could get a one time only reset but wait for the response from corporate what a lie againOnly could give 5 mgh but nowI used 80 mgh that may not do you any good what can’t even use the service to set up my excess phone programsNow I’m using my Verizon internet on my phone to access internet on contact Excede What an unbelievable company asked if I could buy time line I had with my last plan NO was the answer no other plan in your area 15o mgh is only offered in the big city where they have more clients Going to contact FCC regarding this issue Unlimited data is a BIG LIEThis is false advertising,0,DNR
I am using MacBook Pro for 3 years but suddenly I notice that my laptop battery drain too fast . i have already raised this issue in this forums but sadly did not get any reply so is decide to go Apple Support Australia  they told me the solution but further same problem happen what can i do?,1,Inquiry
"I have contacted the main number to resolve my continually slow internet speeds and have received a multitude of ""solutions"" that only resolve the problem for 1 to 2 hours. The last interaction with a supervisor only lead me to believe that all other troubleshooting was worthless and nothing will resolve the issue. I asked for the corporate number only to be told none existed. How do I get a hold of the corporate office or even speak with anyone who can resolve my issue?",1,Inquiry
Not getting any internet this evening. Not sure what could be wrong. Modem took a long time to connect but did connect. Everything looks good except the client side proxy is disconnected. I have unplugged and restarted three times now. Router is bypassed. I don't think I have a bad network cable since I can communicate with the modem. ,1,Technical
Still trying to decide between viasat and hughesnet - but separate question...my local dealer (who sells both) and doesn't have strong opinions about which one is better than the other - BUT  what is the pros and cons of ordering direct from my dealer vs online or the 800 number?,1,Inquiry
Why is the modem/router showing the blue ring  but no internet connection? ??,1,Service
I am trying to get my cameras to email me with motion but it says smtp server not responding. Is there a trick to getting smtp server (gmail) to work on viasat? ,1,Technical
do you have seasonal internet for campgrounds,1,Service
My VS2 high density beam install is done! I was given VIP status which I’m told is typically reserved for employees. Basically there were two inspections. One from a supervisor who came in person and another over a video conference on the installers cell phone with I presume to be a Viasat representative. The good. I’m not experiencing any of the issues that Andy has. YouTube plays instantly with no buffering and downloading music is no problem either. FAST.COM reports 1.9 mb/s. The bad is the highest speed I’ve achieved over WiFi is 30 mb/s. Have not had time to check with a wired connection. My only other concern was the SNR is only 6.5. Have much higher on my VS1 connection. So far I’m only in 30 minutes  but things seem good. Instagram  Facebook  Tumblr  etc all load way faster then VS1 setup. Will update when I have more to share. ,0,DNR
I stream Netflix from my Xbox one and the speed isn't constant. it jumps between 0.10mbps/270 resolution to 0.39mbps/432 resolution. The speed test I have run say my download speed is at 14mbps. I have called exede customer care and they didn't have a answer for me. The speed test they ran said i was at 40mbps. I doubt that one but okay. I called Netflix and they told me to change the playback settings to medium which I did. I'm still having the same problem. I have tried looking for answers on the world wide web but nothing. So  if anyone has a solution to my problem I would be very thankful. ,1,Service
First things first. Internet works  it works just fine. Everything plays full speed Netflix  YouTube  Facebook videos. However when I try to watch a live video on Instagram one thing I have always noticed is it buffers. I actually have to use a chrome downloader to download the video after the person is done with their live. It's the only way I can watch it. At first I thought it was latency but shouldn't it play just fine after the live video is done? It makes no sense. I'm just wondering if anyone else here has that issue or maybe I need a new router.,1,Technical
We've been having some seriously bad weather the past 2 days and today when the sat went out ( VS2 Large Beam ) I put in the 192.168.100.1 to check out the signal. Interestingly enough  the signal on VS2 can actually go below zero. I didn't lose connection until it dropped below -4 . It bottomed out at -11. I watched it fluctuate in the low negatives and as soon as it got to -3.8 it synced and went into ranging and then went back online. The reason I mention this is that if you change from VS1 to VS2 then the signal readings are as different as night is to day. On VS1  zero is just that......zero. This could possible be why the signal seems to be so low with VS2. The scale is different. ,0,DNR
I have a work from home job that requires signing onto 2 VPNs at once that are software based: CiscoAnyConnect and Apple’s VPN. There’s at least 3 web browser based tools I use with the Cisco VPN and at least 3 web browser based tools and 3 software based for Apple’s VPN. The job requires more than 10 meg down and 1.5 up speeds. I was told for Exede to work the VPNs have to use a dynamic IP address instead of static. How can you actually tell the VPNs use dynamic IPs? My IT department really couldn’t answer my question. I can get 12meg to 100meg unlimited data with Exede in the area of Florida where I need it. Also  has anyone worked from home like this with Exede and had success in customer service jobs? Is latency a big issue?,0,Inquiry
So today I found out I didn't update exede with new CC mailed to me. I get it it......my fault. I thought I did and only email I have received since my billing day on the 20th is thank you for your payment on my billing day. That said.......I ran diagnostics on phone app....no issues listed. So I called into viasat after 3-4 restarts and was told my estimated wait time is 2 min......great! That was 1 hour and 30 minutes ago. While on hold I decided to teather phone and see if I could find out anything on my.viasat. Low and behold it told me my account was suspended for non payment. Figured ok I'll add my new card and pay the bill. Which I did. Now I have an authorization on my card for my monthly bill and still no internet and to top it off I'm still on hold. I'm tempted to try processing payment on the phone but afraid I'll get double billed and overdraw my account so I'm still waiting on hold hopeing there is someone working there tonight. This is by far the longest hold time I have ever had calling into viasat and it all could of been avoided had you just sent me a simple email stating there was a problem with your payment method on file. So gonna stay on hold for who knows how much longer trying to get an agent on the phone to figure out status of the payment I just submitted.,1,Account
So I got an email saying my password for my exede account (where I check data  pay bill  etc.) was changed but I never changed it. I thought the email was related to recent changes that I made to my plan (just upgraded to unlimited gold 30  installer is coming next week). So I immediately tried to log into my account  but I was getting an error from salesforce (which I assume exede uses to handles payments and stuff). I forgot to write it down but it finally let me in  using the old password. So it appears my password was never actually changed?Has anyone else got a message like this in the last 24 hours as I'm wondering if this may be a false alarm or issue on salesforce's end?To be on the safe side  I immediately changed my password. Should I still call exede like it says in the email  would there be any point to doing so since I was able to log in and change the password? If someone did access to my account it appears they would be able to get my name  address  and last 4 digits of my CC but not much else. Would Exede be able to tell me if someone with an usual IP or something did access my account?,1,Account
Continued slow speed,0,DNR
Satellite internet first became available to me during December 2001. It was download only. I still needed a dial up connection to upload commands. I thought it was just great.In checking my records  I paid $180 for the equipment and $40 a month for the service. I also had to pay the dial up ISP for the system to be usable.I do not remember the download speed but it probably was slower than today’s Viasat throttled rate. Moreover  it was controlled by how fast I could send instructions by dial up.So here we are seventeen years later. I pay $50 per month for 12 gb and usually get 1 mb/s during the weekday when the children are in school. This is unless I am throttled when I exceed 12 gb  in which case my download speeds are typically less than 0.4 mb/s. In addition  there are  times when my download speed is 0.2 mb/s during periods of congestion  even though I have not reached my threshold of 12 gb. And the congestion periods are getting longer every month.Now  if Viasat had told me the truth about speeds  I probably would be satisfied with this performance. It is the exaggerations about performance that makes many people irate.,0,DNR
No Internet connection in Isleton  CA...any one else?,1,Service
Before wasting time on the phone with a computer can u get an extension on your bill?,1,Account
Need to ascertain the address of the websites on my account that are using up my data limits.,1,Account
Cancel service to account # *removed* as of today (May 31 2018). I am unable to access my account by conventional means or send an e-mail.,1,Account
I think someone came into my house and got my ip address. I have had the computer cleaned but he still seems to be on my computer . Any Ideas how to fix this? I have ask viasat to replace my modem as I have to unplug it all the time to reboot it to get it to work. They will not replace it. If they can not do anything than I need to leave this company and go with another.,1,Inquiry
Dear Customer Service  I would like a copy of the recording or transcript of the phone call when the sales person PURPOSEFULLY MISLEAD my husband and I into agreeing to bundle ViaSAT with Direct TV. Without your cooperation in the matter  I will have no other choice that to contact PUCO and FCC. Thank you in advance. Arlene & Yellott Canby,0,DNR
"eSVT tool Any updates about this for us? This seems to have gotten ""lost in the shuffle""",1,Technical
No updated usage data for couple of days now,0,Account
Does the triangular VS2 modem allow for bridge mode so that I can use my own router? Also does anyone know how the WiFi performance has been on the VS2 modem as well as port control for forwarding etc?,1,Technical
I currently have DSL that is $102.00 a month with speeds of 1.5mbs.  We generally use the internet to watch Netflix or amazon for an hour in the evening or listen to music.  The plans offered in my area are Liberty 12  25 and 50 for $50  $75 and $100.  I cant find any info on beam 315.  Anyone else on that beam?  Should I switch? ,1,Technical
Unable to send or read my email  why?,1,Inquiry
Anyone else have modem Software Version UT_3.7.3.11.3?  Not sure of the date when this version was installed.,1,Technical
Is the Gold 50 Plan in a high density beam?,0,Inquiry
So I needed to forward a port in my router(new Viasat WiFi modem) and I couldn’t get the default credentials on the unit to get me access. I pushed the reset button everything reset I was able to get In but it seems to have messed up my internet. I always get 100-150 mbps down that’s raining to sunny in peak times. After the reset I only get 5mbps down and the Viasat app says there is a problem with the modem. I have talked to Viasat support and have been escalated twice and no one can seem to understand what’s going on. They keep telling me to reboot it  and the last one was like I can’t see that you rebooted it but are the lights blue. I said yes and she was like then your fixed bye. Any help is greatly appreciated. Should I try to factory reset it again?,1,Account
How to Stop Annoying Videos from Playing to Reduce DataI have experimented with Java on and off  flash on and off  Popups on and off  AdBlocker Plus on and off  and UBlock on and off.I like to read the Daily Mail (a UK Murdock publication). When I click on the link to view comments  I get annoying side videos in addition to the comments.I can get rid of these videos by disabling Java. However  this also disables the comments from appearing.Does anyone know a way to stop unwanted videos but still keep comments?Is there an extension that will just block videos?,0,Inquiry
So at my location I can get Viasat unlimited for $200/month. That gets me up to 12Mbps and 65GB priority. Hughesnet gives me unlimited for $130/month. That gives me up to 25Mbps and 50GB priority. More speed but a little less priority data  for $70 less. ,0,DNR
Per Ookla  my download speed this afternoon was 18 mb/s and upload speed was 10 mb/s on my iPad. I hope these speeds last.,0,DNR
VS2 gold 50 is now available in my area for new clients. However my upgrade option on the website says to call for a consultation. Has anyone called and what do they offer an existing client?,0,Account
My speeds are better with a different antivirus protection program installed. I installed one and it slowed down all my PC's  I uninstalled it and went back to the one that makes my PC's seem so much faster and the speed tests are faster too! Just an idea why some of you may have issues with your speeds out there! Mine is much better  once again I'm happy!,0,DNR
Checking with lawyer to get out of contract. Since Viasat can't deliver the speed they promised me when they conned my into getting this joke of an ISP. They might have voided the contract by not delivering what was promised  now just have to wait to hear from the lawyer. ,0,DNR
Is there a simple way to extend signal?  I can't walk far from the router without losing the signal.,1,Service
Why is my bill $135/month when the service that provides twice as much data is $75/month?,0,Inquiry
I would like to confirm my installation date and time..where or how can i do so?,1,Account
Well New 50MBPS and 100 MBPS are now here in my area! https://prnt.sc/jna87n I assume these are viasat2 plans! I will stick with my silver plan up to 25mbps with throttling after 150gb! HA the new silver plan they may throttle after 60gb  and the 50mbps they will after 100gb! No thanks! I will however keep checking the plans often too see if better ones come out! But hopefully eventually they will stop throttling me down below 1 mbps in the evening after going over 150GB! First month I had the plan I didnt get throttle till after 187GB of use but ever since its been right at 150GB BAM down to less than 1MBPS from like 5-11 at night! If I was rich though I would jump on the 100mbps plan with throttling after 150gb for $200 a month!,0,DNR
I have a modem that is already set up with a wireless connection does anybody know how I switch it to a wired connection,1,Technical
Has anyone had an unpleasant experience with a customer service rep named Kat?,0,Inquiry
I pay more than $160/mo to keep a decoration (the viasat dish) on top of my house. Because everything else pretty much sucks. I know other satellite internet options are out there -- they cannot possibly be worse than this. I am spreading the word as far and as wide as I can  starting today.,0,DNR
I have the unlimited up to 150gb. I have only used like 8 gigs and my speed is a constant speed of 0.2mbs why the hell am i paying for 25mbs,0,DNR
The easiest way to figure out where the high density beams are would be if all the forum members that have 50MBps or 100 MBps plans available to them post their general location so we can crowdsource a general high density beam location map.,0,Inquiry
I notice that a lot of TV's advertise upscaling of video. I am curious if that would improve the video quality of streamed videos from Netflix etc. Might be worth investing in if it actually works. I would appreciate input from anyone who has info on this ?,1,Inquiry
Has anyone read or know the total number of residential subscribers on VS1 and VS2? ,0,Inquiry
My Wi-Fi cam don't connect,0,Technical
For $100 per month(+rental fees)  -- 12Mbps/50Gb or 25Mbps/Unlimited Gb Is there something I'm not seeing in this?,0,DNR
News states russia successfully hacked routers.  Listed many popular models.,0,DNR
Download Speed to a crawl  have to wait for every page to open up slowly. Been like this since I signed on a couple of hours ago. Thank you Viasat. You are the best. (Obviously meant sarcastically) What's the best/cheapest way to bail out of Viasat? Just paid my monthly bill  so I am in it for a month. I really do not want to spend the rest of the day on a phone talking to their support line. Been there  done that soooo many times with other companies. Unlimited Bronze plan. Monitoring the speed with a Bandwidth app on desktop.,1,Service
I thought this Article was pretty intriguing. I'll be interested in seeing the Changes in Plan/Speed Advertisements. ,0,Inquiry
My bill is $147. 00 I need help paying some of this before my service be interrupted I don’t want that to happen please someone help me out please,0,Account
I have been a customer for about 4 months or less. Two year contract. Worse mistake besides having dish I have made in years.,0,DNR
I was wondering if any other customers on VS2 are using SLING? I fell like Netlfix works great  but SLING randomly stutters for a second despite good speedtests 35Mbps ?? Overall its been a good swap I was only getting 2-4 Mbps on VS1 during primetime and my bill didnt really go up that much. (I was on the unlimited VS1 plan with 150g allowance) We dont stream very heavy maybe 2-3 hours a day after work. ,0,DNR
Why do we have to pay $100 per visit or $10 a month for them to be able to come out and adjust our antenna that we are renting from you? Seems like every time a bird or something goes over  we loose signal. We have lost connections everyday for the last couple of weeks then we are told our antenna is off and it will cost us. Also wondering when the congestion will stop and we we can expect what we are paying for. Isn't their customer service of their equipment include servicing what is ng wrong and keeping their equipment in working order? Only see Hi speed 25 mb normally between 3 am and 5:30 am....Even running test falls short. Guess your service is still overloaded and you can satisfy what you are adverting.,0,DNR
"I noticed this morning that the 12  25 and 50 plan had been removed from ""See more plans"" and now it just says ""Want to change your Viasat Internet service plan? Call us at 855-854-2718 for a plan consultation.If you're looking to save money or get more data  our customer service team can help you find the perfect service plan to fit your needs.Please note: some plans may require a new 24-month minimum service term.Changes coming or an attempt at providing personal service?",0,Inquiry
Switched to Verizon hotspot for my new internet provider ..... Getting 60 Mbps service,0,DNR
Viasat service has been amazing. I have been happy because 90% of the time the speed has been over 100mbps down. The only time it's been bad is heavy storms. We burned over 700gb the first month. ,0,Praise
"Looks like my modem did a firmware upgrade and now it's stuck ""authenticating.''  Timer says the modem has been up around 44 hours as of now and blue circle is pulsing.  I am connected via the modem and just wondering what my next steps should be.  Not comfortable pulling the plug and letting it reboot just yet. Anyone else?",1,Service
Just notices that the signal color on my router changed from red  orange  yellow  white  then blue what do all these colors mean? Usually Blue I have a good connection and white I don't. What do all the other colors mean.?,1,Inquiry
ViaSat customers must realize the grass is not always greener on the other side...,0,DNR
I have been ripped off by this cable company. I am a disabled Vietnam Vet.,0,DNR
Here in southern illinois we cancelled the easy care. After 3 weeks of going above and beyond on our end running speeds of .03 to .97 tbey day is due to high traffic 24 hours a day. Will not and a tech out either. Problem unresolved and found out tech support was not even keeping note. Worthless customer support,0,Inquiry
DISH TV on Demand will not download using Viasat. Eventually  a failed download message appears after hours of trying. Any help would be appreciated.,1,Service
"I started with EXede about three months ago  and I have yet to ever reach the 12 mpbs that they claim i should get. I have called about this of course and they tell me i am using too much data. In my case  I reach my data cap in about five days. i recently fell asleep at 2 am watching a movie  and that caused me to"" excede"" my data for the month. The Viasat rep said Never do that - you wouldnt leave your water running all night would you? Your data is the same way.'' Of course  she claims the cure for this problem is to give them more money for this incredibly ###### service. I decided to try Exede because other local carriers had gotten too expensive. Unfortunatley Viasat/Exede is not worth any of the money i am paying for it. There has to be a way to stop this incredbile consumer rip-ff.""",0,DNR
Anyone else have Viastat satellite internet? Paying nearly $70 a month for poor SERVICE. You call them  do a speed test  which is slower than a snall  and they decide its a modem problem and they are gonna send out a service tech to repair the problem. Tech youre talking to on the phone is making detailed notes on your account. He's in the middle of telling you how you will be compensated as well just then a survey cuts him off like totally. Forced to call back to get customer service  asked to be put back though to tech support just to be talked to like a <removed> that we dont know what we are saying and so forth. Never mind about the detailed notes on our account. Got a $10 credit for satellite service that dont want to work. Centurylink is faster! Needless to say  a Viastat agents ears are burning and probably having a bad night now. Reporting them is an understatement.,0,DNR
I have 3 email accounts on my wildblue.net account. How do I get a new 4th email address?,1,Account
I was wondering if anyone else can access Cloudflare's DNS (i.e. 1.1.1.1)? DNS look ups  pings  and HTTP requests to there site are currently not working for me.,1,Service
Customer Service Concerns,1,Account
 I wish to close my Account. How do I do this?,1,Account
Happy customer on Liberty 12 Plan,0,Praise
Is this normal? I'm supposed to be able to watch youtube videos at 480.,1,Technical
 last night Viasat was installed at my property in Maryland  at first the installer put me on viasat 1 but was told this was incorrect so he swapped out some parts and turned the dish to viasat 2. I'm on the Gold 30 plan and speedtest had me at 33.57 at about 8pm last night. So far so good,1,Account
Need Help With One of my classes I’m takin,0,Technical
I'm being charged 3 times in one month and nobody will help me.,1,Account
Disappointed in Viasat,0,Inquiry
Call into Customer Care,1,Service
 Do anybody know the plans for ViaSat 2 ??,0,Inquiry
Do anybody know the plans for ViaSat 2 ??,0,Inquiry
Looking to be able to test a Vsat 2 system in my area,1,Inquiry
Return Box Not Received,1,Service
I don't know what's happening,1,Service
Haven't received return box,1,Service
Checking Account Billed twice. 7-14 day refund????,1,Account
Why Exede not yet delivered Viasat 2 in our area,0,Inquiry
Over Billed,1,Account
  This is the second week where we cannot receive or call out on our land phone. Have not any updates as to the cause and the remedy. We are very disgusted with the lack of Service.,1,Service
Why did my bill go up?,1,Account
Is .33 Mbps what I can continue to expect?,1,Technical
Viasat plans suspended in my area,1,Technical
Anyone on the new Platinum plan gone over 150gb and see speeds reduced?,1,Service
Horrible Service and dishonest,0,Inquiry
Installed Viasat Browser via link from Project Sparrow browser  now Malwarebytes is flagging PUPs,0,Technical
Viasat finally came to my neighbourhood - Plans are no good,1,Service
slow speeds and no help from customer support,1,Service
Can I use my own wireless modem?,0,Inquiry
where do I tell my bank to sent monthly payments,0,Inquiry
video streaming speeds,1,Technical
Viasat WiFi Gateway,1,Service
How do I cancel / delete my primary email Account,1,Account
Well I have had my Service since Saturday watched 12 hrs Netflix & my data is gone. Im very upset,1,Service
Audiobook download speeds,0,Inquiry
Diminishing returns on data,1,Service
When will viasat 2 be available in Virginia.,0,Inquiry
how can I get a little more time to respond to an on-line chat??,0,Inquiry
What am I paying for?,0,Inquiry
Feed back from the 3-4 that got Vsat2 plans ?,0,Account
 dish needs to be realigned. the guy that original installed didn't put it in concrete.,1,Technical
I need a repair date.,0,Technical
Refund problem  still waiting!!!!,1,Account
Are there better WiFi settings?,0,Technical
it will not let me login to be able to change my wifi password,1,Account
What does ViaSat want back when you cancel?,0,Service
How to use cellular phone hot spot with a router as a fall back plan?,1,Service
Old and no phone The so called help Service I pay for is a joke.,0,Account
I am receiving phone calls from a debt collection agency saying I owe you over $300. my question is why,1,Account
why im not getting speeds enough to stream now that I purchased more data,1,Service
Can't make my production numbers since they put the new satellite on line. Gonna lose my job!,0,Account
Anybody. by a lifetime plan. And now it seems they don t want to honor it,1,Service
Return of Viasat equipment Will equipment be working modem will DOA DON'T WORK,1,Technical
How does one upgrade to viasat wi-fi modem?,1,Service
Line-of-Site issues with new satellite,0,Account
Cannot access petgroomerforums.com using Viasat Internet,1,Service
Liberty 12. Liberty pass almost never works,0,Service
Router configuration.,1,Technical
why does my Internet turn itself off frequently,1,Technical
Upgraded to Silver plan from Bronze because of slow speeds (1-2 Mb). Now only .44 Mb...:-(,0,Service
Wildblue email undeliverable to aol & yahoo Accounts,0,Account
I have Exede/Viasat internet 150 unlimited (Yeah Right),0,Account
Way too pricey for the Service provided,0,Inquiry
viasat 2 modem/beam issue finally acknowledged,0,Service
Should I switch from Centurylink Maximum 1.5 MBPS?,1,Inquiry
How long does it take to get installed from initial order?,1,Service
Connected but can't get online,1,Technical
 Well  as advertised you can get Service anywhere. Not true. No Service in Smithville Tx.,0,Inquiry
Can I change my modem name?,0,Inquiry
If i have direct TV and viasat is it anyway I can get a discount or something cheper ?,0,Inquiry
 I can't tell  what area I am in  it look like beam 330 or 331. But I am wondering what's the average download rate for this area and how the congestion gets as I will be using most the time 3pm to 1 am cst. This is Durant okloahoma  I am looking at the Liberty 50 plan.,1,Account
Unhappy with unlimited plan,0,Service
Unhappy with unlimited plan,0,Service
Windows 10 Important Updates?,0,Inquiry
Service Appointment customer Service Foul ups,0,Inquiry
Terrible streaming!,0,Service
i can not get to my accout to log in,1,Account
Unhappy with data usage,0,Service
Life for we callously spurned  sat-net-using bottom feeders 'bout to get real y'all (fingers crossed)…,0,Praise
Unlimited plan not available to existing customers --- Unethical!!,0,Service
Viasat app not working on andriod,1,Technical
What is the lease time on the persistent IP addresses available on the business Accounts?,0,Inquiry
No plans on Account page,1,Service
"Bypassing ""unlimited"" streaming video throttling",1,Account
New Issue with TP Link Router Not connecting to Modem,0,Technical
All Hail exede for perfect downloading games onto my xbox one  ps4  and nintendo switch!!! also happy i went with the gold unlimited plan!!!,0,Praise
 I want to upgrade to the 25 mbps speeds but I wanted to keep my existing Freedom plan.  Is that option no longer available for long time customers?,0,Account
Installation issue,1,Technical
Speeds Being Throttled for No Reason,0,Service
Gold 30 plan  which satellite?,0,Account
No internet when it snows,0,Inquiry
 Does anyone have any feedback on the new unlimited bronze plan. Speeds  video etc.,1,Service
not happy with exede they say one thing and next month say another,1,Account
I need help. No internet connection!!÷!???,1,Service
Unlimited Silver 25 and Crappy Netflix,0,Technical
"I received a misleading mailer from a local retailer.  It advertises the ""Freedom Plan""  150GB of data per month  $69.99 per month  3-year price lock on all plans.  Looks great right?",1,Service
"Something's terribly wrong with Viasat in so many ways, and it's only been 18 hours since I joined.",1,Account
"You guys wrongfully took $299.99 from me and caused me to be late on rent and took money from my wife, daughter and I to eat and made me pay an extra $100 for a late charge on the remainder of my rent. ",1,Account
"I have been a customer for about 4 months,or less. Two year contract. Worse mistake besides having dish I have made in years.",0,Inquiry
"Why do we have to pay $100 per visit or $10 a month for them to be able to come out and adjust our antenna that we are renting from you? Seems like every time a bird or something goes over, we loose signal. We have lost connections everyday for the last couple of weeks then we are told our antenna is off and it will cost us. Also wondering when the congestion will stop and we we can expect what we are paying for. Isn't their customer service of their equipment include servicing what is ng wrong and keeping their equipment in working order? Only see Hi speed 25 mb normally between 3 am and 5:30 am....Even running test falls short. Guess your service is still overloaded and you can satisfy what you are adverting.",0,Inquiry
Switched to Verizon hotspot for my new internet provider ..... Getting 60 Mbps service,0,DNR
Viasat service has been amazing. I have been happy because 90% of the time the speed has been over 100mbps down. The only time it's been bad is heavy storms. We burned over 700gb the first month. ,0,Praise
Charged $75 for service I’ve tried to cancel. I want the phone number for the corporate office. No supervisor will reverse the charge.,1,Inquiry
Is there a way to bridge out the gateway? I have my own network and would simply like the public IP address handed to it.,0,Inquiry
"DISH TV on Demand will not download using Viasat. Eventually, a failed download message appears after hours of trying. Any help would be appreciated.",0,Technical
anyhoo... my services has been AWESOMENESS!!! <3 i like literually LOVE my services with viasat :3 also... i do get some slow speeds... BUT!!! i tend to try and play my nintendo switch with the legend of zelda breath of the wild while my speeds come back to normal :3 or when they do maintence onto my beam and stuff :3 or when it is peak hours :3,0,Praise
"I started with EXede about three months ago, and I have yet to ever reach the 12 mpbs that they claim i should get. I have called about this of course and they tell me i am using too much data. In my case, I reach my data cap in about five days. i recently fell asleep at 2 am watching a movie, and that caused me to"" excede"" my data for the month. The Viasat rep said Never do that - you wouldnt leave your water running all night would you? Your data is the same way.'' Of course, she claims the cure for this problem is to give them more money for this incredibly ###### service. I decided to try Exede because other local carriers had gotten too expensive. Unfortunatley Viasat/Exede is not worth any of the money i am paying for it. There has to be a way to stop this incredbile consumer rip-ff.""",0,Service
"I was wondering if anyone else can access Cloudflare's DNS (i.e. 1.1.1.1)? DNS look ups, pings, and HTTP requests to there site are currently not working for me.",0,Technical
"Hi, I have a few questions I'm not sure how many of you are Exede Dealers but I would love to hear input.",0,Inquiry
"We currently use Chrome, have android phones that share sign in.  Does the new browser that Viasat is encouraging give noticeably better performance.  I've been happy with Chrome for years.",0,Inquiry
I am having problem with the internet always getting low on memory client side proxy statistics. My browser running too slow and can’t even streaming the video. ,0,Technical
"Service has performed ""resets"" on their end, it gets somewhat better than this.  Last week they confirmed ""network outage"".  Service started in August with the Freedom plan.  It was great but now it is terrible.  So bad have to use VZ backup.",1,Service
"There is a toggle for the video data extender on my account management dashboard.
It will not allow me to turn this feature off.
My browsers are the new Viasat browser, Google Chrome, and Firefox.
How do I disable this feature as I never download streaming data.
Thanks.",0,Inquiry
I cannot get into my email since they changed to viasat. I can get my customer portal just fine but not my email.,0,Inquiry
hi there im a exede vaisat customer ive read the comments and rather good or bad they all are true.when the service is congested it dose cause slow speeds but its only temporarily it gose back up to 1mbps once it lighten up if you are out of datta or if now you have unlimeted its full speeds after traffic is decreased by less people useing the service.but even if you have pirorty datta it still will be slow if its congested but not less than 1mbps i had this service for 9 years im a vaule dedicated customer so they gave me a 10 dollar discount for a year for being a loyal customer.to get good service you have to be patient.understand no mater who you get service with if they are overloaded it will lag thats how the internet works. it wont never change because of the growing demands.,0,Praise
"I spend almost 77 dollars a month for the crappiest internet service I have EVER had in my life!  I have been without internet for a month now (but STILL paying for it.).  My modem is disconnected and wifi hasn't worked in a month. Yet somehow I have managed to go OVER my allotted data allowance!

My download speeds are a consistent 36 KB - 16 KB.  KILOBYTES.  AGAIN, IT'S 2018 AND I'M DOWNLOADING SLOWER THAN AOL DIAL UP DAYS.

I cannot watch a movie, load a web page or god forbid, check my email.

Customer service is a JOKE, and the reason my service isn't working is because my router is faulty.  I tried explaining that a TORNADO moved my satellite (my neighborhood is listed as a Disaster Area by FEMA, so I would think that customer service would come and move my satellite back into it's normal position).

I'm locked in this crap contract for another year.

STAY FAR AWAY FROM THIS SERVICE.  Please.",0,Service
new billing cycle 5/20/2018 and at 8:00 an on 5/21/2018 charged for 6 gb of used hard to do when sleeping,1,Account
"This is the worst company I have ever dealt with. I explained before I got the service that I wanted it for my grandson to play games on his PS4 and for them to watch Netflix. I was told this plan would be good for it and you could watch like 75 hours of Netflix a month. I agreed and got the internet installed the end of April. Within 5 hours of being installed I received an email saying that we had used 100% of our usage. 
I called them the next day and was told to try it for one month. It reset on May 1st and on May 9th 100% has been used. It is not going to work and I have been fighting with them all month to get early termination fees waived since I was given incorrect information to get me to buy this service. They won’t let me tak to someone in the corporate office and thats not right. What can I do to get this solved?",1,Service
Looking at what's been posted - are all the new plans the hobbled 100GB capped plans? Or will there be improved plans with VS2?  Looks like it VS2 still isn't showing up in my area. It seems like a huge miss if the all the hype around ViaSat2 ends up with smaller data caps.,1,Inquiry
"Seriously?  , On the front page of USATODAY.COM",0,DNR
"I don't mean this to be a negative, so don't take it that way, but sometimes I think companies can be their own worst enemy in setting unrealistic expectations for customers.

On Viasat's twitter feed they have a little animation clip saying they offer ""broadband for all"".  Okay, I get they want to do that and planned to do that.  But as we know, broadband is defined as 25Mbps.  There are many areas of the country right now where the highest level of speed being sold is at 12Mbps.  So if I am a potential customer and see the twitter post I am thinking one thing, but then come to find out I can't get broadband speed in the available plans (I am not even getting into the 'up to' debate here).

Again, I am just making an observation.  We want Viasat to succeed, but I think it is better to under promise and over deliver.  Maybe that is what they are doing with the 12Mbps plans now, just don't call it ""broadband internet"" yet nationwide. ",0,Service
Sad way to do business,0,Inquiry
We recently signed up with Exede/Viasat and are very unhappy with the speeds. Customer service is dismal. I've been told by a tech savvy friend that we can get much better speeds if we use our own router. Viasat will not let us out of paying their monthly fee for their poor performing modem. It is so wrong to force us to use their sub par equipment. I am so sorry I signed up with this company. Any suggestions are welcome.,1,Inquiry
"I am very happy with the new Viasat-2 router speeds and range, but almost every day I have to reset the router because the 2.4g wireless network stops transmitting.  My printer and Roku use this network so it's not some weird time-out issue.  Is the router too hot perhaps?  The network comes back after a reset",1,Technical
Worst provider ever cant even give 5mbs let alone 25 dont fall for their lies,0,Service
Viasat 2 is not available at my location I call customer service n they said it’s not available in my location zip code 39159,1,Inquiry
Excede sucks Can you recommend a better provider,0,Service
I want to block all sexual content that comes into my router,0,Technical
